category,is_known,true_label,prediction,max_softmax,entropy,energy,odin,mahalanobis
Otus_lempiji,0,-1,47,0.807072,-0.5111764,11.836212,0.013321722,-36.91017150878906
Columba_livia,1,23,23,0.9832546,-0.1141225,10.204681,0.013303785,-24.573070526123047
Calidris_alba,1,13,13,0.99219596,-0.049034134,13.418955,0.013346658,-26.319082260131836
Gelochelidon_nilotica,1,37,37,0.99999845,-2.2522803e-05,23.751907,0.013486397,-29.00150489807129
Pitta_moluccensis,0,-1,41,0.27994555,-2.38126,6.912312,0.013233599,-34.082881927490234
Orthotomus_sericeus,0,-1,58,0.8049761,-0.8904085,9.319767,0.013281377,-48.06108093261719
Phylloscopus_coronatus,0,-1,55,0.85344803,-0.6135418,9.329489,0.0132816145,-41.558624267578125
Himantopus_himantopus,1,39,39,0.99999964,-6.7139076e-06,23.846285,0.013484722,-30.42340660095215
Lanius_cristatus,0,-1,68,0.4193469,-2.196275,6.2656903,0.013235184,-31.849557876586914
Ardea_alba,1,7,7,1.0,-1.03070285e-07,25.682257,0.0135122705,-23.821123123168945
Dicaeum_trigonostigma,0,-1,4,0.8350188,-0.8366804,8.74009,0.013275979,-49.577415466308594
Strix_leptogrammica,0,-1,14,0.39280513,-2.462418,5.2593207,0.013234558,-16.783607482910156
Pelargopsis_capensis,1,55,55,1.0,-1.9791487e-06,22.63571,0.01346518,-28.009016036987305
Caprimulgus_macrurus,1,16,16,1.0,-4.0790855e-09,31.666155,0.013580936,-14.41848087310791
Hirundo_rustica,1,40,40,0.9999993,-1.1201959e-05,21.66957,0.013453614,-27.544677734375
Psittacula_alexandri,0,-1,31,0.63133174,-1.0337907,9.958276,0.013288189,-43.102264404296875
Acridotheres_tristis,1,0,0,0.8596217,-0.74550223,7.713515,0.013264602,-20.191524505615234
Caprimulgus_jotaka,0,-1,52,0.19189554,-2.5541854,8.232019,0.013243135,-41.78662872314453
Pycnonotus_jocosus,1,61,61,0.9999989,-1.6882894e-05,25.603354,0.013497217,-45.75386428833008
Sterna_hirundo,1,66,43,0.67286175,-0.8204894,11.838121,0.0133048585,-32.827239990234375
Egretta_garzetta,1,29,29,0.55239797,-1.1214157,8.277246,0.013273058,-35.195552825927734
Acridotheres_tristis,1,0,41,0.3289623,-2.594115,5.522786,0.013225604,-34.95689010620117
Charadrius_mongolus,0,-1,27,0.37814927,-1.6047127,9.843949,0.013271854,-35.183204650878906
Pycnonotus_jocosus,1,61,61,0.9976693,-0.01707802,15.403433,0.013362264,-39.150882720947266
Pitta_sordida,0,-1,28,0.75049424,-0.73680186,10.820817,0.013308157,-32.94951629638672
Rallina_eurizonoides,0,-1,36,0.52662534,-1.2439991,8.610902,0.013266292,-33.139190673828125
Anthreptes_malacensis,0,-1,27,0.62389314,-1.013751,10.395469,0.013292505,-39.93448257446289
Corvus_splendens,1,25,25,1.0,-9.953707e-09,28.39991,0.013541871,-24.238264083862305
Bubo_sumatranus,0,-1,18,0.4294287,-1.9581667,6.860052,0.013246053,-31.9227294921875
Porphyrio_poliocephalus,0,-1,50,0.27111584,-1.918543,6.8261194,0.013269733,-11.049263954162598
Dicrurus_macrocercus,0,-1,27,0.9999752,-0.000351612,17.423954,0.013390071,-31.166297912597656
Pluvialis_squatarola,1,57,57,0.99497545,-0.038139537,13.484766,0.01335329,-24.63644027709961
Anthus_rufulus,0,-1,69,0.9961971,-0.03582715,10.718216,0.013309313,-35.130550384521484
Spilornis_cheela,1,65,65,1.0,-1.9638613e-07,27.586634,0.013534106,-29.20793914794922
Tyto_alba,1,73,73,0.9999999,-2.1237813e-06,24.126919,0.013494571,-18.354677200317383
Nycticorax_nycticorax,1,50,50,0.9999994,-1.1023848e-05,19.808674,0.013443922,-17.94972038269043
Acrocephalus_bistrigiceps,1,1,1,0.99996924,-0.0003947578,18.845531,0.013408604,-37.96286392211914
Collocalia_affinis,0,-1,41,0.7796601,-0.9197166,8.30559,0.013266593,-29.16566276550293
Dicrurus_macrocercus,0,-1,41,0.44045463,-1.8323784,8.77653,0.013260558,-42.83728790283203
Tringa_ochropus,1,71,71,1.0,-1.0573355e-06,24.417734,0.013489023,-32.038902282714844
Ardea_alba,1,7,7,0.9999106,-0.0011305012,15.383465,0.013370101,-28.793785095214844
Pluvialis_fulva,0,-1,14,0.55577224,-1.5606719,7.6495786,0.013264402,-31.37462615966797
Pitta_moluccensis,0,-1,27,0.5870414,-1.5360222,9.492881,0.013270651,-44.9693717956543
Cinnyris_jugularis,1,22,22,1.0,-9.184755e-07,24.03923,0.013484665,-34.920806884765625
Gelochelidon_nilotica,1,37,37,1.0,-1.4717426e-13,40.06868,0.01370962,-22.150894165039062
Zapornia_pusilla,1,75,75,0.9999988,-1.8228084e-05,22.304733,0.013460782,-39.72639846801758
Leptocoma_brasiliana,0,-1,8,0.37382367,-2.2213147,5.03895,0.013244553,-13.853102684020996
Calidris_ferruginea,1,15,15,0.9995969,-0.0041143913,14.298157,0.013364583,-26.968978881835938
Spilornis_cheela,1,65,65,0.9976999,-0.018916149,13.63046,0.013349667,-34.76812744140625
Charadrius_dubius,1,20,20,1.0,-1.1432368e-08,28.620867,0.013549802,-33.45437240600586
Cacomantis_sepulcralis,0,-1,12,0.999159,-0.00847117,13.84753,0.013356279,-48.829158782958984
Psilopogon_haemacephalus,1,59,59,1.0,-5.115223e-08,27.046282,0.013521147,-24.994272232055664
Pachycephala_cinerea,0,-1,27,0.2342085,-2.9535112,5.088023,0.013214254,-30.4831485748291
Cacomantis_merulinus,1,12,12,0.9999999,-2.7593146e-06,23.894691,0.013478416,-41.24153518676758
Caprimulgus_jotaka,0,-1,29,0.63783914,-1.3420439,7.4567075,0.0132608935,-37.98977279663086
Dicrurus_macrocercus,0,-1,27,0.99831605,-0.01496212,13.651973,0.013343112,-32.96958923339844
Limosa_limosa,1,43,43,0.9997038,-0.0029465556,17.898874,0.01339659,-37.83293533325195
Geopelia_striata,0,-1,27,0.4315544,-1.8990817,7.8552527,0.013247428,-29.112056732177734
Cyanoptila_cyanomelana,0,-1,50,0.5710122,-1.7501423,5.5006022,0.013247192,-12.621504783630371
Acrocephalus_orientalis,1,2,2,1.0,-7.5113314e-07,23.70102,0.013477218,-30.449546813964844
Tringa_ochropus,1,71,71,1.0,-7.207889e-11,36.372456,0.0136491675,-32.38691329956055
Ardea_purpurea,1,9,9,0.9291971,-0.25598386,16.868391,0.0133842975,-17.555233001708984
Spilopelia_chinensis,1,64,64,1.0,-1.4328348e-06,23.628248,0.013482029,-36.569217681884766
Mulleripicus_pulverulentus,0,-1,4,0.8751186,-0.5844441,9.29409,0.013284339,-44.875823974609375
Tringa_ochropus,1,71,71,1.0,-3.2997297e-10,31.335052,0.013581474,-23.868967056274414
Cinnyris_jugularis,1,22,22,0.9998342,-0.0018407118,16.183445,0.01337937,-33.005855560302734
Nycticorax_nycticorax,1,50,50,0.9999863,-0.00017745949,17.374506,0.013412478,-18.234148025512695
Halcyon_coromanda,0,-1,28,0.6221771,-0.94391936,9.206702,0.013276962,-39.48829650878906
Tringa_stagnatilis,0,-1,20,0.46756417,-1.8236771,7.393024,0.013245289,-36.19077682495117
Himantopus_himantopus,1,39,39,0.99938107,-0.0055804607,19.81949,0.013435409,-26.419340133666992
Ducula_aenea,0,-1,11,0.55037457,-1.684436,7.035101,0.013245095,-35.36579895019531
Mixornis_gularis,1,44,44,0.99999917,-1.2813833e-05,22.00512,0.013452915,-27.353710174560547
Charadrius_dubius,1,20,20,0.99999523,-7.2522496e-05,19.323431,0.013424439,-33.67304992675781
Hypothymis_azurea,1,41,41,1.0,-2.9813023e-09,31.840939,0.013583444,-39.9025764465332
Dicrurus_macrocercus,0,-1,27,0.8801547,-0.59434867,9.322865,0.013279859,-36.5433235168457
Aplonis_panayensis,0,-1,23,0.37226322,-1.5282333,8.632998,0.013262474,-37.68479537963867
Centropus_bengalensis,0,-1,18,0.99637103,-0.0261767,16.36541,0.01338646,-47.89698028564453
Sternula_albifrons,1,67,67,0.9498683,-0.25407088,10.029434,0.013293911,-36.19511795043945
Ficedula_zanthopygia,0,-1,5,0.47436136,-2.229636,6.0692635,0.013236773,-37.99373245239258
Mixornis_gularis,1,44,44,0.999198,-0.007870305,14.409854,0.013356642,-32.910240173339844
Halcyon_smyrnensis,1,38,38,0.9999999,-3.3078309e-06,24.759922,0.013488457,-35.48685073852539
Anthus_rufulus,0,-1,71,0.20432402,-2.8974862,5.6633997,0.013215289,-32.65944290161133
Zapornia_pusilla,1,75,75,1.0,-3.5605733e-08,27.247545,0.013526767,-30.144067764282227
Hypothymis_azurea,1,41,41,0.9999995,-7.5059315e-06,25.557995,0.013504029,-40.09722137451172
Tachybaptus_ruficollis,1,68,68,0.9879583,-0.08657594,12.548011,0.013316414,-38.86143112182617
Cacomantis_sepulcralis,0,-1,12,0.9999976,-3.4421275e-05,22.7111,0.013459514,-30.972970962524414
Psittacula_krameri,1,60,60,1.0,-2.2622276e-06,22.749342,0.013465862,-25.80418586730957
Anthracoceros_albirostris,0,-1,36,0.83950645,-0.88972884,7.0762653,0.013261481,-25.378150939941406
Phylloscopus_borealis,1,56,56,1.0,-1.1388223e-10,32.522785,0.013611344,-18.93437957763672
Clanga_clanga,0,-1,53,0.9832266,-0.1025533,13.450582,0.013336225,-47.66905212402344
Lonchura_punctulata,0,-1,51,0.29563496,-2.1480603,7.500174,0.013248418,-40.2494010925293
Pachycephala_cinerea,0,-1,4,0.99795914,-0.017362222,12.76892,0.013336878,-35.157081604003906
Ardea_purpurea,1,9,1,0.86450577,-0.57094777,9.545394,0.013290066,-40.769046783447266
Mycteria_leucocephala,0,-1,9,0.75037134,-1.3146077,6.7067513,0.013248206,-29.81279754638672
Gallinula_chloropus,1,35,35,0.99475694,-0.044019267,12.648828,0.013325644,-29.984024047851562
Ardea_cinerea,1,8,8,0.9695746,-0.1418815,13.740693,0.013348422,-39.185298919677734
Accipiter_trivirgatus,0,-1,57,0.21863419,-2.5243049,5.306116,0.013228516,-33.90693283081055
Larvivora_cyane,0,-1,50,0.6011002,-1.2549047,9.771172,0.013288541,-41.80162811279297
Eurystomus_orientalis,0,-1,0,0.9458775,-0.29873553,10.167938,0.013300037,-34.11241149902344
Hemiprocne_comata,0,-1,5,0.64895153,-1.615212,6.784574,0.013248552,-36.27082824707031
Ardea_cinerea,1,8,8,0.9999999,-1.8463254e-06,22.919,0.013475165,-19.313039779663086
Chalcophaps_indica,0,-1,18,0.9348278,-0.33667165,11.762024,0.013313283,-43.778594970703125
Pitta_moluccensis,0,-1,18,0.38586366,-2.147703,6.988925,0.013240145,-30.5791015625
Pitta_megarhyncha,0,-1,68,0.2825569,-2.413574,7.4374247,0.013243508,-35.114376068115234
Cuculus_micropterus,1,26,61,0.9309504,-0.39191076,8.96866,0.013277467,-29.938844680786133
Numenius_phaeopus,1,49,49,1.0,-4.850164e-07,23.443708,0.013483698,-15.026289939880371
Charadrius_leschenaultii,0,-1,15,0.8108288,-0.8924189,8.867827,0.013287692,-36.17687225341797
Acrocephalus_bistrigiceps,1,1,2,0.6857446,-0.6225298,19.709677,0.013418172,-32.15907287597656
Ninox_scutulata,1,47,47,1.0,-2.6786914e-08,29.275667,0.013549011,-25.79351234436035
Dicrurus_leucophaeus,1,27,27,1.0,-9.9160345e-14,42.42935,0.013732351,-33.68855667114258
Mixornis_gularis,1,44,44,1.0,-6.108428e-10,30.560799,0.013573029,-20.52605628967285
Elanus_caeruleus,1,30,30,0.9403939,-0.33207673,10.087738,0.013300458,-36.14979934692383
Chlidonias_leucopterus,0,-1,63,0.89788586,-0.59884876,9.165413,0.013270863,-31.250402450561523
Motacilla_tschutschensis,1,46,46,1.0,-5.347048e-07,27.124983,0.0135214105,-44.76158142089844
Phylloscopus_coronatus,0,-1,22,0.49289224,-1.7896256,7.7849393,0.0132483635,-35.29012680053711
Hemiprocne_comata,0,-1,65,0.36576405,-2.0034604,6.1806016,0.0132429,-25.25735855102539
Psittacula_krameri,1,60,60,0.9999995,-9.52784e-06,21.011076,0.013437408,-27.144012451171875
Pycnonotus_goiavier,0,-1,41,0.9644385,-0.23466435,10.164877,0.0132936435,-36.28665542602539
Pelargopsis_capensis,1,55,55,1.0,-2.1175346e-07,33.671104,0.013609505,-31.424009323120117
Pitta_moluccensis,0,-1,11,0.46523586,-2.3357964,5.270648,0.013227629,-21.285999298095703
Ficedula_mugimaki,0,-1,19,0.86614424,-0.75460374,8.392297,0.013272084,-39.1708984375
Pycnonotus_aurigaster,0,-1,12,0.23289317,-2.7406745,5.912435,0.013220004,-34.9354248046875
Arenaria_interpres,1,10,10,0.99992704,-0.0009634831,15.509408,0.013369587,-19.734880447387695
Pericrocotus_speciosus,0,-1,28,0.985715,-0.09014435,13.203482,0.013334716,-43.38780212402344
Merops_philippinus,0,-1,4,0.20915821,-2.9657586,5.9963007,0.013214944,-51.04497528076172
Larvivora_cyane,0,-1,4,0.33179647,-2.0062325,6.5893946,0.0132381115,-37.52446746826172
Halcyon_pileata,0,-1,38,0.53024226,-1.6375468,8.141321,0.0132572735,-39.624271392822266
Pluvialis_fulva,0,-1,12,0.9867339,-0.10686062,10.215114,0.01329924,-38.365272521972656
Chlidonias_leucopterus,0,-1,70,0.9984372,-0.012644574,14.367715,0.013351117,-24.45713996887207
Garrulax_leucolophus,0,-1,36,0.87284946,-0.64521515,8.585602,0.013271954,-47.849117279052734
Prinia_flaviventris,1,58,58,0.5341117,-1.360889,7.6361175,0.013254902,-28.042329788208008
Strix_seloputo,0,-1,18,0.73795027,-1.1029973,9.218579,0.013279631,-41.454437255859375
Ardea_purpurea,1,9,9,0.3480626,-1.921427,6.8789434,0.0132645415,-14.405085563659668
Dicrurus_macrocercus,0,-1,27,0.9999603,-0.0004545781,21.178265,0.013442863,-46.01211166381836
Falco_tinnunculus,1,33,33,0.9969914,-0.02494612,13.074467,0.013337772,-37.66615676879883
Elanus_caeruleus,1,30,30,1.0,-3.2906286e-07,31.103277,0.013573863,-38.89299011230469
Calidris_ferruginea,1,15,15,0.9999392,-0.0006516454,22.91008,0.013481123,-25.65521240234375
Cinnyris_jugularis,1,22,22,0.9990439,-0.009545639,15.040632,0.013356052,-39.65140914916992
Ducula_aenea,0,-1,61,0.99720544,-0.02731337,12.8835945,0.013328796,-52.407806396484375
Cecropis_daurica,1,17,17,0.9835027,-0.08536094,18.049147,0.0133932475,-41.786651611328125
Gerygone_sulphurea,0,-1,2,0.40597045,-1.5270207,8.915112,0.013264925,-41.97444534301758
Calidris_alba,1,13,13,1.0,-2.7661365e-08,29.523872,0.013566899,-32.09305191040039
Chrysococcyx_xanthorhynchus,0,-1,40,0.6500861,-1.4118769,8.481915,0.013272333,-45.233489990234375
Tachybaptus_ruficollis,1,68,68,0.9999938,-9.568959e-05,19.124523,0.0134170065,-44.236942291259766
Centropus_bengalensis,0,-1,18,0.8497052,-0.703285,9.018321,0.013290529,-37.8313102722168
Otus_sunia,0,-1,47,0.9006941,-0.49357358,9.865282,0.013282767,-34.401180267333984
Cyanoptila_cyanomelana,0,-1,5,0.2544193,-2.6913178,5.4861197,0.013228551,-33.22026824951172
Caprimulgus_macrurus,1,16,16,1.0,-2.0435074e-08,28.365479,0.01354528,-16.578325271606445
Larvivora_cyane,0,-1,44,0.34450468,-2.0498056,6.882388,0.01323724,-40.6123046875
Spatula_querquedula,1,63,63,1.0,-6.349172e-08,27.495625,0.013533486,-26.432533264160156
Pitta_moluccensis,0,-1,61,0.89735395,-0.41900167,11.084618,0.013301811,-38.31977844238281
Apus_nipalensis,0,-1,19,0.36120272,-2.1546984,6.7227454,0.013233439,-35.43128204345703
Calidris_falcinellus,0,-1,46,0.9518343,-0.31151676,8.697731,0.013286015,-30.039213180541992
Anthracoceros_malayanus,0,-1,65,0.2581386,-3.135518,4.739426,0.0132144615,-30.168275833129883
Spatula_clypeata,1,62,62,1.0,-7.153972e-11,35.035564,0.013628905,-26.362537384033203
Numenius_phaeopus,1,49,49,0.99967873,-0.003908311,12.760956,0.01334056,-19.551408767700195
Mycteria_leucocephala,0,-1,7,0.3936622,-1.9076953,6.6805224,0.013236736,-29.997207641601562
Calidris_pugnax,0,-1,43,0.99221885,-0.05059085,15.345494,0.0133621795,-27.788867950439453
Nisaetus_cirrhatus,0,-1,18,0.5291103,-1.6826792,8.236833,0.013263724,-39.077152252197266
Aegithina_tiphia,1,4,4,0.9999796,-0.00027864444,17.358723,0.013394145,-38.39696502685547
Acrocephalus_bistrigiceps,1,1,1,1.0,-1.6637859e-09,32.67963,0.01360484,-33.89836502075195
Gallinago_gallinago,1,34,34,1.0,-5.8111107e-09,27.991648,0.013541013,-29.525392532348633
Dicaeum_cruentatum,0,-1,15,0.58912396,-1.3299246,7.9079494,0.0132600395,-35.752540588378906
Ficedula_zanthopygia,0,-1,31,0.9428753,-0.3418245,9.13118,0.013286024,-44.320194244384766
Cecropis_daurica,1,17,17,0.9999925,-0.00010685649,19.744692,0.013421678,-32.22071838378906
Cinnyris_jugularis,1,22,22,0.9136465,-0.41449106,10.511023,0.013295693,-43.03702926635742
Dicaeum_cruentatum,0,-1,0,0.9710806,-0.20849371,9.764541,0.013291019,-42.10247039794922
Hierococcyx_sparverioides,0,-1,47,0.3622612,-2.173807,6.211766,0.013238462,-35.40280532836914
Mixornis_gularis,1,44,12,0.46376002,-2.1136508,7.0680037,0.013242683,-37.38930130004883
Haliaeetus_ichthyaetus,0,-1,51,0.9993237,-0.006066517,16.923437,0.013383043,-44.68964385986328
Hemiprocne_comata,0,-1,41,0.3602943,-1.9073544,7.0406957,0.013238727,-38.68166732788086
Dicrurus_paradiseus,1,28,28,0.9974038,-0.019608222,15.17615,0.013357332,-39.60516357421875
Gelochelidon_nilotica,1,37,43,0.82791364,-0.7556339,10.474646,0.013299724,-41.284244537353516
Dicrurus_macrocercus,0,-1,12,0.7034628,-1.2944865,7.423146,0.013258187,-52.01287841796875
Charadrius_mongolus,0,-1,15,0.9995919,-0.003918385,16.577961,0.01338371,-26.16753387451172
Egretta_garzetta,1,29,29,0.9996762,-0.003770697,13.316705,0.013349519,-25.756933212280273
Corvus_macrorhynchos,1,24,24,0.99999964,-5.888057e-06,23.976788,0.013479676,-36.602230072021484
Micropternus_brachyurus,0,-1,18,0.5378674,-1.9281042,6.490174,0.013251359,-36.1696662902832
Ficedula_mugimaki,0,-1,27,0.55656743,-0.9684906,10.867892,0.013295817,-39.300880432128906
Psilopogon_rafflesii,0,-1,18,0.9970848,-0.02527599,13.924486,0.013346593,-37.44776153564453
Calidris_alba,1,13,13,0.9998933,-0.0013014458,14.838531,0.0133767985,-27.736312866210938
Phylloscopus_borealis,1,56,56,1.0,-2.2171815e-12,40.267506,0.01371159,-17.81859016418457
Malacocincla_abbotti,0,-1,22,0.99958867,-0.003955184,19.358578,0.013415971,-48.168724060058594
Ixobrychus_sinensis,0,-1,2,0.5020193,-0.90877235,11.317886,0.013299012,-35.0982666015625
Calidris_alba,1,13,13,0.8345481,-0.6420919,10.78335,0.01330728,-24.709430694580078
Xenus_cinereus,0,-1,72,0.9981122,-0.017024048,13.9938545,0.013345078,-35.012569427490234
Passer_montanus,1,54,54,1.0,-1.1699504e-10,35.030872,0.013625955,-38.3065071105957
Hieraaetus_pennatus,0,-1,50,0.15487076,-2.8675458,4.5320263,0.013228181,-10.921148300170898
Cacomantis_sepulcralis,0,-1,27,0.85317,-0.79158497,9.36388,0.013276098,-40.67273712158203
Actitis_hypoleucos,1,3,3,1.0,-4.4631445e-09,30.023062,0.013561039,-37.629642486572266
Hirundo_rustica,1,40,40,1.0,-1.7974467e-06,24.174837,0.0134824505,-28.94108009338379
Dicaeum_cruentatum,0,-1,12,0.6712516,-1.4942889,7.7957015,0.013254176,-39.31572723388672
Muscicapa_dauurica,0,-1,12,0.42433006,-2.4411204,6.35979,0.013231243,-39.202056884765625
Centropus_sinensis,1,18,18,0.9999993,-1.2425844e-05,25.252487,0.013504469,-27.758115768432617
Strix_leptogrammica,0,-1,53,0.28618604,-2.1044283,7.830344,0.01324695,-47.63064956665039
Falco_peregrinus,1,32,32,1.0,-1.11272016e-07,26.535694,0.013520631,-21.17732810974121
Mixornis_gularis,1,44,44,1.0,-3.4059544e-10,32.611816,0.013599067,-21.517480850219727
Collocalia_affinis,0,-1,43,0.4650948,-2.209919,6.6430783,0.013236247,-43.64519500732422
Calidris_ferruginea,1,15,15,0.99959916,-0.00468746,12.628874,0.013339709,-20.615549087524414
Caprimulgus_affinis,0,-1,36,0.17647243,-2.9417803,5.314661,0.01321658,-30.179231643676758
Ninox_scutulata,1,47,47,1.0,-3.1466433e-07,27.064535,0.013533746,-37.995704650878906
Cinnyris_jugularis,1,22,22,0.9992623,-0.0077684103,14.318969,0.013345679,-31.635332107543945
Acridotheres_tristis,1,0,0,0.9999993,-1.2489427e-05,21.74236,0.013448337,-39.768558502197266
Tringa_totanus,1,72,72,0.9998598,-0.0017971857,14.970127,0.013355511,-28.243253707885742
Motacilla_tschutschensis,1,46,46,0.9999988,-2.0534724e-05,20.697828,0.0134355845,-31.18131446838379
Arenaria_interpres,1,10,10,0.9981705,-0.016669672,14.116251,0.013355418,-29.710662841796875
Ardea_cinerea,1,8,8,0.9999927,-0.0001101501,17.39424,0.013401113,-29.5047550201416
Chalcophaps_indica,0,-1,55,0.56353426,-1.3583347,7.822538,0.013255619,-38.044456481933594
Gallinago_megala,0,-1,48,0.8260966,-0.8730012,8.710966,0.013271743,-35.690826416015625
Pitta_megarhyncha,0,-1,22,0.44121143,-2.0597646,7.379413,0.013249941,-34.476051330566406
Eurystomus_orientalis,0,-1,27,0.87829435,-0.4593045,11.370572,0.013306305,-40.85489273071289
Falco_peregrinus,1,32,32,0.99999213,-0.000120931596,18.392504,0.013402782,-37.637081146240234
Pericrocotus_divaricatus,0,-1,35,0.43797973,-2.43901,6.139972,0.013231981,-39.815391540527344
Gelochelidon_nilotica,1,37,37,1.0,-2.899154e-09,36.243706,0.013650518,-26.641719818115234
Pitta_moluccensis,0,-1,28,0.45783377,-1.7873985,8.254232,0.01325945,-46.7411994934082
Numenius_phaeopus,1,49,49,0.9999918,-0.00011967805,17.986208,0.013410237,-17.07405662536621
Ardea_cinerea,1,8,8,0.917392,-0.3260484,11.958505,0.013316965,-30.5020694732666
Spatula_clypeata,1,62,63,0.80910665,-0.71585464,10.731539,0.01330837,-44.573394775390625
Cacomantis_merulinus,1,12,12,0.99999976,-4.641325e-06,21.893291,0.013449088,-29.401039123535156
Surniculus_lugubris,0,-1,51,0.9999229,-0.00086676504,18.981821,0.013414642,-50.31442642211914
Surniculus_lugubris,0,-1,65,0.5910397,-0.7597937,9.613115,0.013289509,-36.265682220458984
Muscicapa_dauurica,0,-1,1,0.99935347,-0.0060771955,16.144844,0.013381151,-50.75783920288086
Gerygone_sulphurea,0,-1,8,0.37382367,-2.2213147,5.03895,0.013244553,-13.853102684020996
Arenaria_interpres,1,10,10,0.99365145,-0.049586266,11.512927,0.013312548,-18.33095359802246
Strix_leptogrammica,0,-1,57,0.1722491,-2.882772,4.3791766,0.013225852,-13.029212951660156
Pycnonotus_aurigaster,0,-1,27,0.3396477,-1.8945394,8.549675,0.013259678,-44.44788360595703
Sterna_hirundo,1,66,66,1.0,-1.4366318e-09,29.857521,0.013570529,-25.600122451782227
Ninox_scutulata,1,47,47,1.0,-1.3771843e-07,25.235792,0.013509174,-28.63296127319336
Cinnyris_jugularis,1,22,22,0.77342224,-0.93355864,7.535728,0.013261304,-31.689176559448242
Nyctyornis_amictus,0,-1,22,0.23194286,-2.8559039,5.0711174,0.0132186115,-32.18026351928711
Acridotheres_tristis,1,0,0,1.0,-9.50918e-10,33.174866,0.013605944,-41.09183883666992
Malacocincla_abbotti,0,-1,41,0.64118135,-1.3612571,8.204019,0.013260674,-40.27224349975586
Orthotomus_sericeus,0,-1,24,0.6276667,-1.1219705,9.544351,0.01328464,-46.90559005737305
Dicrurus_macrocercus,0,-1,2,0.5269619,-2.1540685,5.6984158,0.013235307,-26.52052879333496
Caprimulgus_jotaka,0,-1,5,0.23656812,-2.756639,5.1394143,0.013220233,-31.732162475585938
Ceyx_erithaca,0,-1,41,0.7049621,-0.8682238,9.430132,0.013282934,-38.282108306884766
